대피시설명,지번주소,도로명주소,대피시설 인원수,경도,위도
삼창아파트,서울특별시 노원구 월계동 441,서울특별시 노원구 광운로2가길 22,969,127.060059,37.617704
청백1단지아파트 107동,서울특별시 노원구 월계동 774,서울특별시 노원구 초안산로 89,2909,127.051921,37.635832
서광아파트,서울특별시 노원구 월계동 922,서울특별시 노원구 마들로1길 44,727,127.063988,37.623656
공릉2동 화랑타운아파트 지하주차장,서울특별시 노원구 공릉동 111,서울특별시 노원구 화랑로51길 17,727,127.089366,37.623077
한화꿈에그린아파트 지하주차장,서울특별시 노원구 중계동 598,서울특별시 노원구 중계로8길 29,16006,127.083267,37.648007
롯데우성아파트101동,서울특별시 노원구 중계동 361-1,서울특별시 노원구 노원로22길 34,727,127.071772,37.647351
롯데우성아파트103동,서울특별시 노원구 중계동 361-1,서울특별시 노원구 노원로22길 34,727,127.071772,37.647351
롯데우성아파트107동,서울특별시 노원구 중계동 361-1,서울특별시 노원구 노원로22길 34,727,127.071772,37.647351
롯데우성아파트109동,서울특별시 노원구 중계동 361-1,서울특별시 노원구 노원로22길 34,727,127.071772,37.647351
청구스포츠센터,서울특별시 노원구 중계동 360-2,서울특별시 노원구 중계로 225,1027,127.074984,37.650383
태릉입구역,서울특별시 노원구 공릉동 616-4,서울특별시 노원구 동일로 지하 992-1,15757,127.074997,37.617905
상계3.4동주민센터,서울특별시 노원구 상계동 37-7,서울특별시 노원구 덕릉로 859,363,127.083236,37.67291
월계2동주민센터,서울특별시 노원구 월계동 777,서울특별시 노원구 초안산로5길 28,545,127.050781,37.63251
월계3동주민센터,서울특별시 노원구 월계동 15-1,서울특별시 노원구 마들로 57,424,127.069232,37.621004
하계1동 주민센터,서울특별시 노원구 하계동 251-2,서울특별시 노원구 노원로 261,480,127.072559,37.640561
상계10동 주민센터,서울특별시 노원구 상계동 671,서울특별시 노원구 노원로 530,185,127.060262,37.661287
공릉1동주민센터,서울특별시 노원구 공릉동 499-25,서울특별시 노원구 동일로186길 3-24,600,127.073749,37.624778
건영아파트,서울특별시 노원구 중계동 360-15,서울특별시 노원구 노원로22길 71,10303,127.07588,37.648559
마들프라자,서울특별시 노원구 중계동 359-9,서울특별시 노원구 한글비석로 269,606,127.07679,37.651719
영광프라자,서울특별시 노원구 중계동 359-10,서울특별시 노원구 한글비석로 265,545,127.076558,37.651449
조은빌딩,서울특별시 노원구 중계동 359-15,서울특별시 노원구 중계로 220,909,127.075683,37.650873
